ID	DOCULECT	CONCEPT_IN_SOURCE	CONCEPT_FRENCH	IPA	VALUE	FORM	CONCEPTICON_ID	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS
5761	Penange	new	nouveau	kàndà	kàndà	kàndà	1231	NEW	k ¹/a ⁿd ¹/a	1 7 1 7	AXBZ	KATA	25	25.K.C 25.A.V 25.T.C 25.A.V	2.0 1.5 1.75 0.8	0	2883
5762	Perge_Tegu	new	nouveau	kàlá	kàlá	kàlá	1231	NEW	k ¹/a l ⁵/a	1 7 5 7	AXBZ	KALA	26	26.K.C 26.A.V 26.L.C 26.A.V	2.0 1.5 1.75 0.8	0	2883
5763	Tebul_Ure	new	nouveau	kàndá	kàndá	kàndá	1231	NEW	k ¹/a ⁿd ⁵/a	1 7 1 7	AXBZ	KATA	30	30.K.C 30.A.V 30.T.C 30.A.V	2.0 1.5 1.75 0.8	0	2883
5764	Togo_Kan	new	nouveau	kàná	kàná	kàná	1231	NEW	k ¹/a n ⁵/a	1 7 4 7	AXBZ	KANA	32	32.K.C 32.A.V 32.N.C 32.A.V	2.0 1.5 1.75 0.8	0	2883
5765	Tomo_Kan	new	nouveau	kàndà	kàndà	kàndà	1231	NEW	k ¹/a ⁿd ¹/a	1 7 1 7	AXBZ	KATA	34	34.K.C 34.A.V 34.T.C 34.A.V	2.0 1.5 1.75 0.8	0	2883
5766	Yorno_So	new	nouveau	kàná	kàná	kàná	1231	NEW	k ¹/a n ⁵/a	1 7 4 7	AXBZ	KANA	38	38.K.C 38.A.V 38.N.C 38.A.V	2.0 1.5 1.75 0.8	0	2883
5767	Soninke		nouvelle	qìbáárè	qìbáárè	qìbáárè	1231	NEW	q ¹/i b ⁵/a: r ¹/e	1 7 1 7 5 7	AXBYBZ	KIPARE	29	29.K.C 29.I.V 29.P.C 29.A.V 29.R.C 29.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	2888
5768	Bozo_Hainyaxo		nuage	habaafoluu	habaafoluu	habaafoluu	1231	NEW	h a b aː f o l uː	3 7 1 7 3 7 5 7	AXBYBYBZ	HAPABULY	8	8.H.C 8.A.V 8.P.C 8.A.V 8.B.C 8.U.V 8.L.C 8.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	2884
5769	Toro_So	new	nouveau	kàná	kàná	kàná	1231	NEW	k ¹/a n ⁵/a	1 7 4 7	AXBZ	KANA	35	35.K.C 35.A.V 35.N.C 35.A.V	2.0 1.5 1.75 0.8	0	2883
5770	Toro_So	new	nouveau	kánnà	kánnà	kánnà	1231	NEW	k ⁵/a n n ¹/a	1 7 4 4 7	AXMBZ	KANNA	35	35.K.C 35.A.V 35.N.c 35.N.C 35.A.V	2.0 1.5 1.1 1.75 0.8	0	2883
5771	Bondu_So	new	nouveau	kàndàà	kàndàà	kàndàà	1231	NEW	k ¹/a ⁿd ¹/aː	1 7 1 7	AXBZ	KATA	6	6.K.C 6.A.V 6.T.C 6.A.V	2.0 1.5 1.75 0.8	0	2883
5772	Songhai_Senni	[n] night	nuit	kígín-ó	kígín-ó	kígín-ó	1233	NIGHT	k ⁵/i ɡ ⁵/i n + ⁵/o	1 7 1 7 4 9 7	AXBYN_X	KIKIN_U	28	28.K.C 28.I.V 28.K.C 28.I.V 28.N.c 28._._ 28.U.V	2.0 1.5 1.75 1.3 0.8 0.0 1.5	0	2898 2899
5773	Ampari	night	nuit	dó:ndó	dó:ndó	dó:ndó	1233	NIGHT	d ⁵/oː ⁿd ⁵/o	1 7 1 7	AXBZ	TUTU	1	1.T.C 1.U.V 1.T.C 1.U.V	2.0 1.5 1.75 0.8	0	2889
5774	Bankan_Tey	night	nuit	ɲân	ɲân	ɲân	1233	NIGHT	ɲ ⁵¹/a n	4 7 4	AXN	NAN	4	4.N.C 4.A.V 4.N.c	2.0 1.5 0.8	0	2892
5775	Ben_Tey	night	nuit	ɲárⁿù	ɲárⁿù	ɲárⁿù	1233	NIGHT	ɲ ⁵/a ∼/r̃ ¹/u	4 7 5 7	AXBZ	NARY	5	5.N.C 5.A.V 5.R.C 5.Y.V	2.0 1.5 1.75 0.8	0	2892
5776	Dogul_Dom	night	nuit	yá:gà	yá:gà	yá:gà	1233	NIGHT	j ⁵/aː ɡ ¹/a	6 7 1 7	AXBZ	JAKA	17	17.J.C 17.A.V 17.K.C 17.A.V	2.0 1.5 1.75 0.8	0	2896
5777	Gourou	night	nuit	dà:ɣá	dà:ɣá	dà:ɣá	1233	NIGHT	d ¹/aː ɣ ⁵/a	1 7 3 7	AXBZ	TAGA	20	20.T.C 20.A.V 20.G.C 20.A.V	2.0 1.5 1.75 0.8	0	2889
5778	Bondu_So	night	nuit	ɲám	ɲám	ɲám	1233	NIGHT	ɲ ⁵/a m	4 7 4	AXN	NAM	6	6.N.C 6.A.V 6.M.c	2.0 1.5 0.8	0	2893
5779	Nanga	night	nuit	dɛ̀:ndɛ̂	dɛ̀:ndɛ̂	dɛ̀:ndɛ̂	1233	NIGHT	d ¹/ɛː ⁿd ¹⁵/ɛ	1 7 1 7	AXBZ	TETE	24	24.T.C 24.E.V 24.T.C 24.E.V	2.0 1.5 1.75 0.8	0	2889
5780	Tebul_Ure	night	nuit	dɛ̀ndɛ́	dɛ̀ndɛ́	dɛ̀ndɛ́	1233	NIGHT	d ¹/ɛ ⁿd ⁵/ɛ	1 7 1 7	AXBZ	TETE	30	30.T.C 30.E.V 30.T.C 30.E.V	2.0 1.5 1.75 0.8	0	2889
5781	Togo_Kan	night	nuit	dà:gá	dà:gá	dà:gá	1233	NIGHT	d ¹/aː ɡ ⁵/a	1 7 1 7	AXBZ	TAKA	32	32.T.C 32.A.V 32.K.C 32.A.V	2.0 1.5 1.75 0.8	0	2889
5782	Tommo_So	night	nuit	yáŋá	yáŋá	yáŋá	1233	NIGHT	j ⁵/a ŋ ⁵/a	6 7 4 7	AXBZ	JANA	33	33.J.C 33.A.V 33.N.C 33.A.V	2.0 1.5 1.75 0.8	0	2896
5783	Toro_Tegu	night	nuit	yⁿà:ŋá	yⁿà:ŋá	yⁿà:ŋá	1233	NIGHT	∼/j ¹/aː ŋ ⁵/a	6 7 4 7	AXBZ	JANA	36	36.J.C 36.A.V 36.N.C 36.A.V	2.0 1.5 1.75 0.8	0	2896
5784	Yanda_Dom	night	nuit	dèndà:	dèndà:	dèndà:	1233	NIGHT	d ¹/e ⁿd ¹/aː	1 7 1 7	AXBZ	TETA	37	37.T.C 37.E.V 37.T.C 37.A.V	2.0 1.5 1.75 0.8	0	2889
5785	Yorno_So	night	nuit	dìgɛ́	dìgɛ́	dìgɛ́	1233	NIGHT	d ¹/i ɡ ⁵/ɛ	1 7 1 7	AXBZ	TIKE	38	38.T.C 38.I.V 38.K.C 38.E.V	2.0 1.5 1.75 0.8	0	2889
5786	Donno_So	night	nuit	yáŋà	yáŋà	yáŋà	1233	NIGHT	j ⁵/a ŋ ¹/a	6 7 4 7	AXBZ	JANA	18	18.J.C 18.A.V 18.N.C 18.A.V	2.0 1.5 1.75 0.8	0	2896
5787	Mombo	night	nuit	dó:	dó:	dó:	1233	NIGHT	d ⁵/oː	1 7	AX	TU	23	23.T.C 23.U.V	2.0 1.5	0	2889
5788	Penange	night	nuit	dógó	dógó	dógó	1233	NIGHT	d ⁵/o ɡ ⁵/o	1 7 1 7	AXBZ	TUKU	25	25.T.C 25.U.V 25.K.C 25.U.V	2.0 1.5 1.75 0.8	0	2889
5789	Tiranige_Diga	night	nuit	yà:gù	yà:gù	yà:gù	1233	NIGHT	j ¹/aː ɡ ¹/u	6 7 1 7	AXBZ	JAKY	31	31.J.C 31.A.V 31.K.C 31.Y.V	2.0 1.5 1.75 0.8	0	2896
5790	Bangime	night	nuit	jììjè	jììjè	jììjè	1233	NIGHT	j ¹/iː j ¹/e	6 7 6 7	AXBZ	JIJE	3	3.J.C 3.I.V 3.J.C 3.E.V	2.0 1.5 1.75 0.8	0	2891
5791	Fulfulde	night	nuit	jemma	jemma	jemma	1233	NIGHT	dʒ e m m a	1 7 4 4 7	AXMBZ	TEMMA	19	19.T.C 19.E.V 19.M.c 19.M.C 19.A.V	2.0 1.5 1.1 1.75 0.8	0	2897
5792	Jenaama	night	nuit	wùùtīnā	wùùtīnā	wùùtīnā	1233	NIGHT	w ¹/uː t ³/i n ³/a	6 7 1 7 4 7	AXBYBZ	WYTINA	22	22.W.C 22.Y.V 22.T.C 22.I.V 22.N.C 22.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	2895
5793	Jamsay	night	nuit	dà:ɣá	dà:ɣá	dà:ɣá	1233	NIGHT	d ¹/aː ɣ ⁵/a	1 7 3 7	AXBZ	TAGA	21	21.T.C 21.A.V 21.G.C 21.A.V	2.0 1.5 1.75 0.8	0	2889
5794	Perge_Tegu	night	nuit	dɛ̀:gɛ́	dɛ̀:gɛ́	dɛ̀:gɛ́	1233	NIGHT	d ¹/ɛː ɡ ⁵/ɛ	1 7 1 7	AXBZ	TEKE	26	26.T.C 26.E.V 26.K.C 26.E.V	2.0 1.5 1.75 0.8	0	2889
5795	Bozo_Debo		nuit	guu	guu	guu	1233	NIGHT	ɡ uː	1 7	AX	KY	7	7.K.C 7.Y.V	2.0 1.5	0	2894
5796	Bozo_Hainyaxo		nuit	guluu	guluu	guluu	1233	NIGHT	ɡ u l uː	1 7 5 7	AXBZ	KYLY	8	8.K.C 8.Y.V 8.L.C 8.Y.V	2.0 1.5 1.75 0.8	0	2894
5797	Bozo_Korondougou_nord		nuit	guu	guu	guu	1233	NIGHT	ɡ uː	1 7	AX	KY	9	9.K.C 9.Y.V	2.0 1.5	0	2894
5798	Bozo_Korondougou_sud		nuit	guu	guu	guu	1233	NIGHT	ɡ uː	1 7	AX	KY	10	10.K.C 10.Y.V	2.0 1.5	0	2894
5799	Bozo_Kotya		nuit	guu	guu	guu	1233	NIGHT	ɡ uː	1 7	AX	KY	11	11.K.C 11.Y.V	2.0 1.5	0	2894
5800	Bozo_Pondori_nord		nuit	guu	guu	guu	1233	NIGHT	ɡ uː	1 7	AX	KY	12	12.K.C 12.Y.V	2.0 1.5	0	2894
5801	Bozo_Pondori_sud		nuit	wuⁿuⁿdna	wuⁿuⁿdna	wuⁿuⁿdna	1233	NIGHT	w ũ: d n a	6 7 1 4 7	AXBCZ	WYTNA	13	13.W.C 13.Y.V 13.T.C 13.N.C 13.A.V	2.0 1.5 1.75 1.5 0.8	0	2895
5802	Bozo_Tieyaxo		nuit	gulu	gulu	gulu	1233	NIGHT	ɡ u l u	1 7 5 7	AXBZ	KYLY	14	14.K.C 14.Y.V 14.L.C 14.Y.V	2.0 1.5 1.75 0.8	0	2894
5803	Bozo_Tiema_Cewe		nuit	guru	guru	guru	1233	NIGHT	ɡ u r u	1 7 5 7	AXBZ	KYRY	15	15.K.C 15.Y.V 15.R.C 15.Y.V	2.0 1.5 1.75 0.8	0	2894
5804	Soninke		nuit	wùrô	wùrô	wùrô	1233	NIGHT	w ¹/u r ⁵¹/o	6 7 5 7	AXBZ	WYRU	29	29.W.C 29.Y.V 29.R.C 29.U.V	2.0 1.5 1.75 0.8	0	2900
5805	Bambara		nuit, soir (à partir de la venue de l'obscurité)	sú	sú	sú	1233	NIGHT	s ⁵/u	3 7	AX	SY	2	2.S.C 2.Y.V	2.0 1.5	0	2890
5806	Toro_So	night	nuit	dìgɛ́	dìgɛ́	dìgɛ́	1233	NIGHT	d ¹/i ɡ ⁵/ɛ	1 7 1 7	AXBZ	TIKE	35	35.T.C 35.I.V 35.K.C 35.E.V	2.0 1.5 1.75 0.8	0	2889
5807	Bondu_So	night	nuit	ɲáŋ	ɲáŋ	ɲáŋ	1233	NIGHT	ɲ ⁵/a ŋ	4 7 4	AXN	NAN	6	6.N.C 6.A.V 6.N.c	2.0 1.5 0.8	0	2892
5808	Bambara		neuf	kɔ̀nɔ̀ⁿtɔ́ⁿ	kɔ̀nɔ̀ⁿtɔ́ⁿ	kɔ̀nɔ̀ⁿtɔ́ⁿ	1483	NINE	k ¹/ɔ n ɔ̃ t ⁵/ɔ̃	1 7 4 7 1 7	AXBYBZ	KUNUTU	2	2.K.C 2.U.V 2.N.C 2.U.V 2.T.C 2.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	2902
5809	Bambara		neuf	kúrámáⁿ	kúrámáⁿ	kúrámáⁿ	1483	NINE	k ⁵/u r ⁵/a m ⁵/ã	1 7 5 7 4 7	AXBYBZ	KYRAMA	2	2.K.C 2.Y.V 2.R.C 2.A.V 2.M.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	2911
5810	Bozo_Debo		neuf	kapi	kapi	kapi	1483	NINE	k a p i	1 7 1 7	AXBZ	KAPI	7	7.K.C 7.A.V 7.P.C 7.I.V	2.0 1.5 1.75 0.8	0	2906
5811	Bozo_Hainyaxo		neuf	kafi	kafi	kafi	1483	NINE	k a f i	1 7 3 7	AXBZ	KABI	8	8.K.C 8.A.V 8.B.C 8.I.V	2.0 1.5 1.75 0.8	0	2906
5812	Bozo_Korondougou_nord		neuf	kapi	kapi	kapi	1483	NINE	k a p i	1 7 1 7	AXBZ	KAPI	9	9.K.C 9.A.V 9.P.C 9.I.V	2.0 1.5 1.75 0.8	0	2906
5813	Bozo_Korondougou_sud		neuf	kapi	kapi	kapi	1483	NINE	k a p i	1 7 1 7	AXBZ	KAPI	10	10.K.C 10.A.V 10.P.C 10.I.V	2.0 1.5 1.75 0.8	0	2906
5814	Bozo_Kotya		neuf	kapi	kapi	kapi	1483	NINE	k a p i	1 7 1 7	AXBZ	KAPI	11	11.K.C 11.A.V 11.P.C 11.I.V	2.0 1.5 1.75 0.8	0	2906
5815	Bozo_Pondori_nord		neuf	kapi	kapi	kapi	1483	NINE	k a p i	1 7 1 7	AXBZ	KAPI	12	12.K.C 12.A.V 12.P.C 12.I.V	2.0 1.5 1.75 0.8	0	2906
5816	Bozo_Pondori_sud		neuf	kapi	kapi	kapi	1483	NINE	k a p i	1 7 1 7	AXBZ	KAPI	13	13.K.C 13.A.V 13.P.C 13.I.V	2.0 1.5 1.75 0.8	0	2906
5817	Bozo_Tieyaxo		neuf	kari	kari	kari	1483	NINE	k a r i	1 7 5 7	AXBZ	KARI	14	14.K.C 14.A.V 14.R.C 14.I.V	2.0 1.5 1.75 0.8	0	2906
5818	Bozo_Tiema_Cewe		neuf	kapi	kapi	kapi	1483	NINE	k a p i	1 7 1 7	AXBZ	KAPI	15	15.K.C 15.A.V 15.P.C 15.I.V	2.0 1.5 1.75 0.8	0	2906
5819	Soninke		neuf	kàbú	kàbú	kàbú	1483	NINE	k ¹/a b ⁵/u	1 7 1 7	AXBZ	KAPY	29	29.K.C 29.A.V 29.P.C 29.Y.V	2.0 1.5 1.75 0.8	1	2906
5820	Songhai_Senni	[num] nine	neuf (9).	yággâ	yággâ	yággâ	1483	NINE	j ⁵/a ɡ ɡ ⁵¹/a	6 7 1 1 7	AXMBZ	JAKKA	28	28.J.C 28.A.V 28.K.c 28.K.C 28.A.V	2.0 1.5 1.1 1.75 0.8	0	2908
5821	Toro_Tegu	nine	neuf (numéro)	lá:rà	lá:rà	lá:rà	1483	NINE	l ⁵/aː r ¹/a	5 7 5 7	AXBZ	LARA	36	36.L.C 36.A.V 36.R.C 36.A.V	2.0 1.5 1.75 0.8	0	2907
5822	Ben_Tey	nine	neuf (numéro)	tè:sǐ-m	tè:sǐm	tè:sǐm	1483	NINE	t ¹/eː s ¹⁵/i + m	1 7 3 7 9 4	AXBZ_A	TESI_M	5	5.T.C 5.E.V 5.S.C 5.I.V 5._._ 5.M.C	2.0 1.5 1.75 0.8 0.0 2.0	0	2903 2904
5823	Bankan_Tey	nine	neuf (numéro)	tè:sú-m	tè:súm	tè:súm	1483	NINE	t ¹/eː s ⁵/u + m	1 7 3 7 9 4	AXBZ_A	TESY_M	4	4.T.C 4.E.V 4.S.C 4.Y.V 4._._ 4.M.C	2.0 1.5 1.75 0.8 0.0 2.0	0	2903 2904
5824	Nanga	nine	neuf (numéro)	tè:sǐ:	tè:sǐ:	tè:sǐ:	1483	NINE	t ¹/eː s ¹⁵/iː	1 7 3 7	AXBZ	TESI	24	24.T.C 24.E.V 24.S.C 24.I.V	2.0 1.5 1.75 0.8	0	2903
5825	Perge_Tegu	nine	neuf (numéro)	lá:r-wà	lá:rwà	lá:rwà	1483	NINE	l ⁵/aː r + w ¹/a	5 7 5 9 6 7	AXN_AX	LAR_WA	26	26.L.C 26.A.V 26.R.c 26._._ 26.W.C 26.A.V	2.0 1.5 0.8 0.0 2.0 1.5	0	2907 2905
5826	Gourou	nine	neuf (numéro)	lá:rú-wà	lá:rúwà	lá:rúwà	1483	NINE	l ⁵/aː r ⁵/u + w ¹/a	5 7 5 7 9 6 7	AXBZ_AX	LARY_WA	20	20.L.C 20.A.V 20.R.C 20.Y.V 20._._ 20.W.C 20.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	2907 2905
5827	Togo_Kan	nine	neuf (numéro)	tùwâ:	tùwâ:	tùwâ:	1483	NINE	t ¹/u w ⁵¹/aː	1 7 6 7	AXBZ	TYWA	32	32.T.C 32.Y.V 32.W.C 32.A.V	2.0 1.5 1.75 0.8	0	2901
5828	Yorno_So	nine	neuf (numéro)	tùwɔ́	tùwɔ́	tùwɔ́	1483	NINE	t ¹/u w ⁵/ɔ	1 7 6 7	AXBZ	TYWU	38	38.T.C 38.Y.V 38.W.C 38.U.V	2.0 1.5 1.75 0.8	0	2901
5829	Tommo_So	nine	neuf (numéro)	túwwɔ́	túwwɔ́	túwwɔ́	1483	NINE	t ⁵/u w w ⁵/ɔ	1 7 6 6 7	AXMBZ	TYWWU	33	33.T.C 33.Y.V 33.W.c 33.W.C 33.U.V	2.0 1.5 1.1 1.75 0.8	0	2901
5830	Dogul_Dom	nine	neuf (numéro)	tù:wá	tù:wá	tù:wá	1483	NINE	t ¹/uː w ⁵/a	1 7 6 7	AXBZ	TYWA	17	17.T.C 17.Y.V 17.W.C 17.A.V	2.0 1.5 1.75 0.8	0	2901
5831	Dogul_Dom	nine	neuf (numéro)	tùùwɔ́	tùùwɔ́	tùùwɔ́	1483	NINE	t ¹/uː w ⁵/ɔ	1 7 6 7	AXBZ	TYWU	17	17.T.C 17.Y.V 17.W.C 17.U.V	2.0 1.5 1.75 0.8	0	2901
5832	Tebul_Ure	nine	neuf (numéro)	gà-gárà-bà	[gà-gárà]-bà	gà-gárà-bà	1483	NINE	ɡ ¹/a + ɡ ⁵/a r ¹/a + b ¹/a	1 7 9 1 7 5 7 9 1 7	AX_AXBZ_AX	KA_KARA_PA	30	30.K.C 30.A.V 30._._ 30.K.C 30.A.V 30.R.C 30.A.V 30._._ 30.P.C 30.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	2906 2909 2910
5833	Yanda_Dom	nine	neuf (numéro)	twâ:	twâ:, yè-twâ:	twâ:	1483	NINE	t w ⁵¹/aː	1 6 7	ACX	TWA	37	37.T.C 37.W.C 37.A.V	2.0 1.5 1.5	0	2905
5834	Bondu_So	nine	neuf (numéro)	twâ-y	twây	twây	1483	NINE	t w ⁵¹/a + j	1 6 7 6	ACXN	TWAJ	6	6.T.C 6.W.C 6.A.V 6.J.c	2.0 1.5 1.5 0.8	0	2905
5835	Ampari	nine	neuf (numéro)	tó:wá	tó:wá	tó:wá	1483	NINE	t ⁵/oː w ⁵/a	1 7 6 7	AXBZ	TUWA	1	1.T.C 1.U.V 1.W.C 1.A.V	2.0 1.5 1.75 0.8	0	2901
5836	Bunoge	nine	neuf (numéro)	tó:wà	tó:wà	tó:wà	1483	NINE	t ⁵/oː w ¹/a	1 7 6 7	AXBZ	TUWA	16	16.T.C 16.U.V 16.W.C 16.A.V	2.0 1.5 1.75 0.8	0	2901
5837	Donno_So	nine	neuf (numéro)	tù:gɔ́	tù:gɔ́	tù:gɔ́	1483	NINE	t ¹/uː ɡ ⁵/ɔ	1 7 1 7	AXBZ	TYKU	18	18.T.C 18.Y.V 18.K.C 18.U.V	2.0 1.5 1.75 0.8	0	2901
5838	Penange	nine	neuf (numéro)	tò:wà	tò:wà, X-gè tó:wà	tò:wà	1483	NINE	t ¹/oː w ¹/a	1 7 6 7	AXBZ	TUWA	25	25.T.C 25.U.V 25.W.C 25.A.V	2.0 1.5 1.75 0.8	0	2901
5839	Bangime	nine	neuf (numéro)	tɛ̀ɡɔ̀	tɛ̀ɡɔ̀	tɛ̀ɡɔ̀	1483	NINE	t ¹/ɛ ɡ ¹/ɔ	1 7 1 7	AXBZ	TEKU	3	3.T.C 3.E.V 3.K.C 3.U.V	2.0 1.5 1.75 0.8	0	2901
5840	Fulfulde	nine	neuf (numéro)	jeenay	jeenay	jeenay	1483	NINE	dʒ eː n a j	1 7 4 7 6	AXBYN	TENAJ	19	19.T.C 19.E.V 19.N.C 19.A.V 19.J.c	2.0 1.5 1.75 1.3 0.8	0	2901
5841	Jenaama	nine	neuf (numéro)	kàpì	kàpì	kàpì	1483	NINE	k ¹/a p ¹/i	1 7 1 7	AXBZ	KAPI	22	22.K.C 22.A.V 22.P.C 22.I.V	2.0 1.5 1.75 0.8	0	2906
5842	Jamsay	nine	neuf (numéro)	lá:rúwà	lá:rúwà	lá:rúwà	1483	NINE	l ⁵/aː r ⁵/u w ¹/a	5 7 5 7 6 7	AXBYBZ	LARYWA	21	21.L.C 21.A.V 21.R.C 21.Y.V 21.W.C 21.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	2907
5843	Mombo	nine	neuf (numéro)	tó:wà	tó:wà	tó:wà	1483	NINE	t ⁵/oː w ¹/a	1 7 6 7	AXBZ	TUWA	23	23.T.C 23.U.V 23.W.C 23.A.V	2.0 1.5 1.75 0.8	0	2901
5844	Tiranige_Diga	nine	neuf (numéro)	tó:wá	tó:wá	tó:wá	1483	NINE	t ⁵/oː w ⁵/a	1 7 6 7	AXBZ	TUWA	31	31.T.C 31.U.V 31.W.C 31.A.V	2.0 1.5 1.75 0.8	0	2901
5845	Toro_So	nine	neuf (numéro)	túwɔ́	túwɔ́	túwɔ́	1483	NINE	t ⁵/u w ⁵/ɔ	1 7 6 7	AXBZ	TYWU	35	35.T.C 35.Y.V 35.W.C 35.U.V	2.0 1.5 1.75 0.8	0	2901
5846	Toro_So	nine	neuf (numéro)	sɔ̂-j	sɔ̂j	sɔ̂j	1483	NINE	s ⁵¹/ɔ + j	3 7 9 6	AX_A	SU_J	35	35.S.C 35.U.V 35._._ 35.J.C	2.0 1.5 0.0 2.0	0	2913 2904
5847	Bondu_So	nine	neuf (numéro)	tɔ̀â-y	tɔ̀ây	tɔ̀ây	1483	NINE	t ¹/ɔ ⁵¹/a + j	1 7 7 9 6	AXZ_A	TUA_J	6	6.T.C 6.U.V 6.A.V 6._._ 6.J.C	2.0 1.5 0.8 0.0 2.0	0	2901 2912
5848	Songhai_Senni	[n] noble, freeborn person (not slave)	noble (non esclave)	bòrkìn-ò	bòrkìn-ò	bòrkìn-ò	482	NOBLE	b ¹/o r k ¹/i n + ¹/o	1 7 5 1 7 4 9 7	AXMBYN_X	PURKIN_U	28	28.P.C 28.U.V 28.R.c 28.K.C 28.I.V 28.N.c 28._._ 28.U.V	2.0 1.5 1.1 1.75 1.3 0.8 0.0 1.5	0	2928 2929
5849	Toro_Tegu	noble, freeborn person	noble (non esclave)	bɔ̀rcì-ní	bɔ̀rcì-ní	bɔ̀rcì-ní	482	NOBLE	b ¹/ɔ r tʃ ¹/i + n ⁵/i	1 7 5 1 7 9 4 7	AXMBZ_AX	PURTI_NI	36	36.P.C 36.U.V 36.R.c 36.T.C 36.I.V 36._._ 36.N.C 36.I.V	2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5	0	2932 2931
5850	Ben_Tey	noble, freeborn person	noble (non esclave)	bà:mà-yí-m	bà:mà-yí-m	bà:mà-yí-m	482	NOBLE	b ¹/aː m ¹/a + j ⁵/i + m	1 7 4 7 9 6 7 9 4	AXBZ_AX_A	PAMA_JI_M	5	5.P.C 5.A.V 5.M.C 5.A.V 5._._ 5.J.C 5.I.V 5._._ 5.M.C	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0	0	2916 2917 2918
5851	Bankan_Tey	noble, freeborn person	noble (non esclave)	dímò-m	dímò-m	dímò-m	482	NOBLE	d ⁵/i m ¹/o + m	1 7 4 7 9 4	AXBZ_A	TIMU_M	4	4.T.C 4.I.V 4.M.C 4.U.V 4._._ 4.M.C	2.0 1.5 1.75 0.8 0.0 2.0	0	2914 2915
5852	Nanga	noble, freeborn person	noble (non esclave)	kɔ́:là	kɔ́:là, dímâ	kɔ́:là	482	NOBLE	k ɔː l ¹/a	1 7 5 7	AXBZ	KULA	24	24.K.C 24.U.V 24.L.C 24.A.V	2.0 1.5 1.75 0.8	0	2927
5853	Perge_Tegu	noble, freeborn person	noble (non esclave)	ɔ̀gɔ̀-î:ⁿ	ɔ̀gɔ̀-î:ⁿ	ɔ̀gɔ̀-î:ⁿ	482	NOBLE	¹/ɔ ɡ ¹/ɔ + ⁵¹/ĩ:	7 1 7 9 7	XBZ_X	UKU_I	26	26.U.V 26.K.C 26.U.V 26._._ 26.I.V	1.5 1.75 0.8 0.0 1.5	0	2924 2915
5854	Gourou	noble, freeborn person	noble (non esclave)	ɔ̀ɣɔ̀-în	ɔ̀ɣɔ̀ în	ɔ̀ɣɔ̀-în	482	NOBLE	¹/ɔ ɣ ¹/ɔ + ⁵¹/i + n	7 3 7 9 7 9 4	XBZ_X_A	UGU_I_N	20	20.U.V 20.G.C 20.U.V 20._._ 20.I.V 20._._ 20.N.C	1.5 1.75 0.8 0.0 1.5 0.0 2.0	0	2924 2915 2918
5855	Tommo_So	noble, freeborn person	noble (non esclave)	ɔ́lɔ́-nɔ́	ɔ́lɔ́-nɔ́	ɔ́lɔ́-nɔ́	482	NOBLE	⁵/ɔ l ⁵/ɔ + n ⁵/ɔ	7 5 7 9 4 7	XBZ_AX	ULU_NU	33	33.U.V 33.L.C 33.U.V 33._._ 33.N.C 33.U.V	1.5 1.75 0.8 0.0 2.0 1.5	0	2930 2931
5856	Dogul_Dom	noble, freeborn person	noble (non esclave)	dímò	dímò	dímò	482	NOBLE	d ⁵/i m ¹/o	1 7 4 7	AXBZ	TIMU	17	17.T.C 17.I.V 17.M.C 17.U.V	2.0 1.5 1.75 0.8	0	2914
5857	Tebul_Ure	noble, freeborn person	noble (non esclave)	ɲì-dímɛ̀	ɲì dímɛ̀	ɲì-dímɛ̀	482	NOBLE	ɲ ¹/i + d ⁵/i m ¹/ɛ	4 7 9 1 7 4 7	AX_AXBZ	NI_TIME	30	30.N.C 30.I.V 30._._ 30.T.C 30.I.V 30.M.C 30.E.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	2919 2914
5858	Yanda_Dom	noble, freeborn person	noble (non esclave)	dímɛ̀	dímɛ̀	dímɛ̀	482	NOBLE	d ⁵/i m ¹/ɛ	1 7 4 7	AXBZ	TIME	37	37.T.C 37.I.V 37.M.C 37.E.V	2.0 1.5 1.75 0.8	0	2914
5859	Bondu_So	noble, freeborn person	noble (non esclave)	nò:-nálà	nò: nálà	nò:-nálà	482	NOBLE	n ¹/oː + n ⁵/a l ¹/a	4 7 9 4 7 5 7	AX_AXBZ	NU_NALA	6	6.N.C 6.U.V 6._._ 6.N.C 6.A.V 6.L.C 6.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	2919 2920
